父亲工作,父亲职业类型,母亲工作,母亲职业类型
中铁六局太原铁路建设公司,企业员工,鑫智点交通设施有限公司,企业员工
凯信会议服务有限公司,企业员工,长城国际旅行社有限责任公司,企业员工
银光聚银化工有限公司,企业员工,九亩花田蛋糕店,个体户
元拓科技咨询有限公司,企业员工,中国平安财险股份有限公司,企业员工
市广播电视大学,事业单位,市实验中学,事业单位
"市经济合作局
",事业单位,"县住房保障中心
",事业单位
区建豪汽修中心,服务业人员,家庭主妇,自由职业
区建豪汽修中心,服务业人员,家庭主妇,自由职业
陕西省水利水电第三工程局,企业员工,二十一冶,建筑行业从业人员
渭源陇原恒新畜牧科技有限公司,企业员工,XX路街道诚信社区,居民自治组织
市民政局,公务员,矿冶职业技术学院,事业单位
北京路九洋菜市场刘伟鲜面店,个体户,北京路九洋菜市场刘伟鲜面店,服务业人员
市第一人民医院,事业单位,公路应急保障与路网监测中心,事业单位
市农业农村局,公务员,市委编办,公务员
老姐饺子馆,个体户,,个体户
大市场清华电动工具,服务业人员,家庭主妇,自由职业
市统计局,公务员,个体,个体户
盛泰房地产公司,企业员工,家庭主妇,自由职业
盛泰房地产公司,企业员工,家庭主妇,自由职业
县瑞金路锦辉消防工程有限公司,企业员工,家庭主妇,自由职业
市农业综合行政执法队,事业单位,宏信房地资产评估公司,企业员工
大禹工程咨询有限公司,企业员工,纺织路街道办,公务员
市中级人民法院,公务员,农行XXX县支行,公务员
家庭父亲,自由职业,白银区公园路街道办事处,公务员
市旅游局,公务员,大自然旅行社,服务业人员
陇风巢浴,服务业人员,凤巢浴足,服务业人员
XXX镇政府,公务员,美年大健康有限公司,企业员工
市团委,公务员,区应急管理局,公务员
万盛体能拓展中心鑫多米便利店,个体户,北门流觞烟酒,个体户
市公安局,公务员,区人民法院,公务员
家庭父母,自由职业,家庭父母,自由职业
公安局,公务员,市给排水（集团）有限公司,企业员工
西区管委会,公务员,市人社局,公务员
市住建局,公务员,市科学技术局,公务员
XXX建设局,企业员工,区住建局 ,公务员
银中源工贸有限公司,企业员工,家庭主妇,自由职业
广东省中海油,企业员工,家庭主妇,自由职业
娟红杂粮食府,企业员工,娟红杂粮食府,个体户
市政管理处,公务员,区妇幼保健站,事业单位
中国兵器工业公司三冶炼,企业员工,无,自由职业
万民工程建设有限公司,企业员工,新疆省和田市个体药店,个体户
市公安局,公务员,省第三人民医院,事业单位
省监狱局,公务员,区人民法院,公务员
家庭主妇,自由职业,家庭主妇,自由职业
江苏路之久工程建设有限公司,企业员工,家庭主妇,自由职业
市财政局,公务员,市教育局,公务员
市财政局,公务员,泰安学校教职工,事业单位
瑞禾农资,服务业人员,市委统战部,公务员
市纪委,公务员,市公安局交警支队,公务员
市委办,公务员,市审计局,公务员
第十一中学北侧校园书店,个体户,顶新文化公司,企业员工
长通公司,企业员工,市育才学校,事业单位
市住建局,公务员,区融媒体中心,传媒行业
